word,freq
Helen,85
Audrey,73
Helen,48
Audrey,42
Helen,31
Audrey,26
Helen,24
Audrey,23
Helen,23
Audrey,21
Helen,20
Audrey,20
Helen,18
Audrey,18
Helen,17
Audrey,15
Helen,14
Audrey,14
Helen,14
Audrey,14
Helen,13
Audrey,11
Helen,11
Audrey,11
Helen,11
Audrey,10
Helen,10
Audrey,10
Helen,10
Audrey,9
Helen,9
Audrey,9
Helen,9
Audrey,9
Helen,9
Audrey,9
Helen,9
Audrey,8
Helen,8
Audrey,8
Helen,8
Audrey,8
Helen,8
Audrey,8
Helen,8
Audrey,8
Helen,7
Audrey,7
Helen,7
Audrey,7
Helen,7
Audrey,7
Helen,7
Audrey,7
Helen,7
Audrey,7
Helen,7
Audrey,7
Helen,7
Audrey,7
Helen,6
Audrey,6
Helen,6
Audrey,6
Helen,6
Audrey,6
Helen,6
Audrey,6
Helen,6
Audrey,6
Helen,6
Audrey,6
Helen,6
Audrey,6
Helen,6
Audrey,6
Helen,6
Audrey,5
Helen,5
Audrey,5
Helen,5
Audrey,5
Helen,5
Audrey,5
Helen,5
Audrey,5
Helen,5
Audrey,5
Helen,5
Audrey,5
Helen,5
Audrey,5
Helen,5
Audrey,5
Helen,5
Audrey,5
Helen,5
Audrey,5
Helen,5
Audrey,5
Helen,5
Audrey,5
Helen,5
Audrey,5
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,4
Helen,4
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,3
Audrey,3
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
Audrey,2
Helen,2
