word,freq
Helen,85
Audrey,73
Maggie,48
Rachel,42
Helen,31
Audrey,26
Maggie,24
Rachel,23
Helen,23
Audrey,21
Maggie,20
Rachel,20
Helen,18
Audrey,18
Maggie,17
Rachel,15
Helen,14
Audrey,14
Maggie,14
Rachel,14
Helen,13
Audrey,11
Maggie,11
Rachel,11
Helen,11
Audrey,10
Maggie,10
Rachel,10
Helen,10
Audrey,9
Maggie,9
Rachel,9
Helen,9
Audrey,9
Maggie,9
Rachel,9
Helen,9
Audrey,8
Maggie,8
Rachel,8
Helen,8
Audrey,8
Maggie,8
Rachel,8
Helen,8
Audrey,8
Maggie,7
Rachel,7
Helen,7
Audrey,7
Maggie,7
Rachel,7
Helen,7
Audrey,7
Maggie,7
Rachel,7
Helen,7
Audrey,7
Maggie,7
Rachel,7
Helen,6
Audrey,6
Maggie,6
Rachel,6
Helen,6
Audrey,6
Maggie,6
Rachel,6
Helen,6
Audrey,6
Maggie,6
Rachel,6
Helen,6
Audrey,6
Maggie,6
Rachel,6
Helen,6
Audrey,5
Maggie,5
Rachel,5
Helen,5
Audrey,5
Maggie,5
Rachel,5
Helen,5
Audrey,5
Maggie,5
Rachel,5
Helen,5
Audrey,5
Maggie,5
Rachel,5
Helen,5
Audrey,5
Maggie,5
Rachel,5
Helen,5
Audrey,5
Maggie,5
Rachel,5
Helen,5
Audrey,5
Maggie,5
Rachel,5
Helen,4
Audrey,4
Maggie,4
Rachel,4
Helen,4
Audrey,4
Maggie,4
Rachel,4
Helen,4
Audrey,4
Maggie,4
Rachel,4
Helen,4
Audrey,4
Maggie,4
Rachel,4
Helen,4
Audrey,4
Maggie,4
Rachel,4
Helen,4
Audrey,4
Maggie,4
Rachel,4
Helen,4
Audrey,4
Maggie,4
Rachel,4
Helen,4
Audrey,4
Maggie,4
Rachel,4
Helen,4
Audrey,4
Maggie,4
Rachel,4
Helen,4
Audrey,4
Maggie,4
Rachel,4
Helen,4
Audrey,4
Maggie,4
Rachel,4
Helen,4
Audrey,4
Maggie,4
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,3
Rachel,3
Helen,3
Audrey,3
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
Audrey,2
Maggie,2
Rachel,2
Helen,2
